"Rank","","Player Id","Player GSIS","Player College GSIS","Player Sportradar Id","Name","","Team","#","POS","S","OFF","OFF%","Run","Pass","RBLK","PBLK","OFF GRD","PASS GRD","REC GRD","RUSH GRD","PBLK GRD","RBLK GRD","KEY","PEN"
"","","98501","","327911","","Ryland Goede","georgia-tech-yellow-jackets","GA TECH","86","TE","2024","269","0.0004","0","80","165","24","58.1","","58","","55.4","57.6","43","1-0"
"","","98504","","348324","","Jaxon Hughes","texas-tech-red-raiders","TEXAS TECH","68","T","2024","23","0","0","0","16","7","59.1","","","","78.9","55.6","5","0-0"
"","","98513","","348293","","Wes Dorsey","ucf-knights","UCF","73","T","2024","33","0","0","0","21","12","58.3","","","","79.8","54.4","5","0-0"
"","","98517","","348812","","Quinn Carroll","minnesota-golden-gophers","MINNESOTA","77","T","2024","818","0.0012","0","0","339","479","65.9","","","","55.5","69.3","171","1-0"
"","","98524","","349064","","Jack Conley","boston-college-eagles","BOSTON COL","67","G","2024","596","0.0009","0","4","324","268","59.3","","54.4","","57.1","57.9","126","1-0"
"","","98528","","325264","","Victor Stoffel","california-golden-bears","CAL","78","T","2024","186","0.0003","0","0","81","105","51.1","","","","49.8","50.5","34","0-0"
"","","98531","","330572","","Bryce Benhart","nebraska-cornhuskers","NEBRASKA","54","T","2024","877","0.0013","0","0","381","496","75","","","","67.7","74.2","160","1-0"
"","","98550","","326024","","Adrian Medley","ucf-knights","UCF","76","G","2024","815","0.0012","0","0","437","378","68.7","","","","74.3","66.2","144","3-2"
"","","98553","","337044","","Jarrad Baker","ucf-knights","UCF","19","WR","2024","191","0.0003","0","97","93","1","54.9","","53","","62.1","69.5","8","0-0"
"","","98556","","349330","","Jayden Harrison","notre-dame-fighting-irish","NOTRE DAME","02","WR","2024","211","0.0003","0","133","77","1","70.9","","72.9","","63.8","51.1","27","1-0"
"","","98576","","349323","","Justin Ball","mississippi-state-bulldogs","MISS STATE","84","TE","2024","328","0.0005","0","122","180","26","50.8","","50.5","","62.9","55.5","56","4-0"
"","","98683","","330413","","Chandler Rogers","california-golden-bears","CAL","07","QB","2024","98","0.0001","24","41","33","0","60.8","56","55.8","63.3","","60","26","0-0"
"","","98786","","348988","","Mason Napper","miami-fl-hurricanes","MIAMI FL","S49","LS","2024","2","0","0","0","2","0","60","","","","","60","0","0-0"
"","","98811","","328123","","Trent Whittemore","ucf-knights","UCF","80","WR","2024","443","0.0006","0","202","241","0","55.3","49.9","52.2","","","70.8","27","0-0"
"","","98964","","349297","","Caden Davis","mississippi-rebels","OLE MISS","S41","K","2024","1","0","0","1","0","0","27","27.4","","","","","1","0-0"
"","","98977","","368418","","Alex Herrera","south-carolina-gamecocks","S CAROLINA","S40","K","2024","5","0","0","1","2","2","58.3","","57.7","","81","60","0","0-0"
"","","99047","","330243","","Jackson Lampley","tennessee-volunteers","TENNESSEE","75","G","2024","231","0.0003","0","0","125","106","64.2","","","","44.6","66.2","62","2-0"
"","","99049","","361631","","Dayne Davis","tennessee-volunteers","TENNESSEE","66","T","2024","453","0.0007","0","0","220","233","61","","","","60.1","61.7","95","2-0"
"","","99064","","340839","","Amari Kight","ucf-knights","UCF","78","T","2024","815","0.0012","0","1","437","377","79.8","","59.5","","82.1","75.4","144","3-1"
"","","99071","","348754","","Justin Osborne","smu-mustangs","SMU","51","G","2024","914","0.0013","0","0","420","494","68","","","","75.7","64.6","190","5-1"
